,PSA-HM1-BAYTB-hist.txt,PSA-HM1-BAYTC-hist.txt,PSA-HM1-BAYTG-hist.txt,PSA-HM1-BAYTH-hist.txt,PSA-HP1-BAYTB-hist.txt,PSA-HP1-BAYTC-hist.txt,PSA-HP1-BAYTG-hist.txt,PSA-HP1-BAYTH-hist.txt,PSA-HS2-BAYTB-hist.txt,PSA-HS2-BAYTC-hist.txt,PSA-HS2-BAYTG-hist.txt,PSA-HS2-BAYTH-hist.txt,alpha3-BAYTB-hist.txt,alpha3-BAYTC-hist.txt,alpha3-BAYTG-hist.txt,alpha3-BAYTH-hist.txt,phix-BAYTB-hist.txt,phix-BAYTC-hist.txt,phix-BAYTG-hist.txt,phix-BAYTH-hist.txt
186,3729.0,3923.0,4216.0,5668.0,250.0,266.0,217.0,306.0,867.0,830.0,822.0,989.0,,4.0,2.0,2.0,7.0,18.0,11.0,50.0
187,4048.0,4054.0,4461.0,5910.0,258.0,258.0,247.0,296.0,940.0,859.0,794.0,1005.0,,5.0,1.0,2.0,17.0,14.0,14.0,50.0
188,4220.0,4089.0,4529.0,5855.0,275.0,252.0,252.0,328.0,959.0,881.0,860.0,1030.0,,1.0,,3.0,22.0,13.0,13.0,40.0
189,4281.0,4130.0,4687.0,6076.0,278.0,253.0,255.0,293.0,926.0,922.0,875.0,1001.0,,2.0,,6.0,10.0,12.0,8.0,47.0
190,4549.0,4312.0,4898.0,6047.0,288.0,230.0,263.0,335.0,977.0,918.0,915.0,1106.0,,6.0,,17.0,8.0,14.0,10.0,40.0
191,4589.0,4421.0,4884.0,5992.0,310.0,280.0,302.0,332.0,1078.0,953.0,935.0,1092.0,,1.0,,3.0,15.0,12.0,14.0,45.0
192,4852.0,4209.0,5100.0,6502.0,337.0,249.0,258.0,341.0,1079.0,890.0,951.0,1076.0,,1.0,1.0,9.0,12.0,15.0,13.0,65.0
193,5022.0,4526.0,5306.0,6385.0,342.0,269.0,272.0,367.0,1152.0,883.0,1008.0,1171.0,,,,7.0,12.0,19.0,18.0,45.0
194,5078.0,4365.0,5516.0,6480.0,346.0,292.0,278.0,382.0,1127.0,918.0,1045.0,1075.0,,4.0,1.0,14.0,10.0,14.0,17.0,62.0
195,5267.0,4367.0,5709.0,6760.0,342.0,264.0,314.0,356.0,1192.0,986.0,1010.0,1135.0,,,,8.0,8.0,23.0,10.0,60.0
196,5506.0,4600.0,5827.0,6517.0,380.0,303.0,300.0,331.0,1254.0,988.0,1040.0,1105.0,,3.0,1.0,3.0,5.0,14.0,14.0,48.0
197,5674.0,4548.0,5953.0,6813.0,383.0,281.0,358.0,332.0,1291.0,957.0,1162.0,1190.0,1.0,,1.0,6.0,17.0,16.0,8.0,34.0
198,5948.0,4627.0,6019.0,6706.0,387.0,318.0,313.0,375.0,1298.0,1018.0,1138.0,1139.0,1.0,2.0,,2.0,7.0,12.0,10.0,52.0
199,5982.0,4767.0,6286.0,6780.0,412.0,285.0,367.0,363.0,1403.0,997.0,1198.0,1171.0,1.0,4.0,,12.0,15.0,22.0,13.0,64.0
200,6201.0,4627.0,6545.0,6818.0,443.0,326.0,362.0,384.0,1415.0,1039.0,1198.0,1256.0,,4.0,,3.0,8.0,16.0,16.0,55.0
201,6424.0,4858.0,6693.0,6953.0,419.0,308.0,383.0,375.0,1475.0,1061.0,1287.0,1204.0,,4.0,,4.0,10.0,18.0,15.0,36.0
202,6507.0,4800.0,6911.0,7093.0,428.0,291.0,374.0,334.0,1554.0,1101.0,1234.0,1259.0,,5.0,,9.0,12.0,15.0,15.0,55.0
203,6790.0,4681.0,7041.0,7192.0,516.0,286.0,404.0,404.0,1574.0,1060.0,1302.0,1177.0,1.0,2.0,,4.0,10.0,18.0,14.0,48.0
204,7164.0,4730.0,7216.0,7134.0,457.0,274.0,404.0,393.0,1580.0,1134.0,1295.0,1225.0,,1.0,,7.0,13.0,12.0,8.0,56.0
205,7253.0,4970.0,7212.0,7380.0,512.0,300.0,412.0,406.0,1611.0,1010.0,1429.0,1182.0,1.0,3.0,,6.0,7.0,21.0,16.0,31.0
